"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue May 13 19:52:01 EEST 2025","Tue May 13 19:52:18 EEST 2025","17067","","Functional Tests","","FunctionalTests","ValidateFunctionalities","ValidateFunctionalities","This test validates the 'Buy Instantly' functionality."
"passed","Tue May 13 19:57:04 EEST 2025","Tue May 13 19:58:12 EEST 2025","67931","","Policy Tests","","PolicyTests","ValidatePoliciesPages_MultiBrowser","ValidatePoliciesPages_MultiBrowser(""webkit"",""EN"")","This test validates policy pages across multiple browsers."
"passed","Tue May 13 19:52:18 EEST 2025","Tue May 13 19:52:24 EEST 2025","6031","","Language Tests","","LanguageTests","CanSwitchLanguages","CanSwitchLanguages","This test validates the ability to switch languages and verify mission text."
"passed","Tue May 13 19:52:43 EEST 2025","Tue May 13 19:53:29 EEST 2025","45575","","Performance Tests","","PerformanceTests","ValidatePoliciesPages_MultiBrowserWithPerformance","ValidatePoliciesPages_MultiBrowserWithPerformance(""chromium"",""EN"")","This test validates policy pages across multiple browsers with performance metrics."
"passed","Tue May 13 19:52:24 EEST 2025","Tue May 13 19:52:30 EEST 2025","6133","","Language Tests","","LanguageTests","GoToPoliciesPage_MultiLanguage","GoToPoliciesPage_MultiLanguage(""EN"")","This test validates navigation to the policies page in multiple languages."
"passed","Tue May 13 19:55:03 EEST 2025","Tue May 13 19:55:44 EEST 2025","40955","","Policy Tests","","PolicyTests","ValidateAllPoliciesPages","ValidateAllPoliciesPages(""EN"")","This test validates all policy pages for a given language."
"passed","Tue May 13 19:54:07 EEST 2025","Tue May 13 19:55:03 EEST 2025","55672","","Performance Tests","","PerformanceTests","ValidatePoliciesPages_MultiBrowserWithPerformance","ValidatePoliciesPages_MultiBrowserWithPerformance(""webkit"",""EN"")","This test validates policy pages across multiple browsers with performance metrics."
"passed","Tue May 13 19:56:23 EEST 2025","Tue May 13 19:57:04 EEST 2025","41698","","Policy Tests","","PolicyTests","ValidatePoliciesPages_MultiBrowser","ValidatePoliciesPages_MultiBrowser(""firefox"",""EN"")","This test validates policy pages across multiple browsers."
"passed","Tue May 13 19:52:30 EEST 2025","Tue May 13 19:52:36 EEST 2025","6530","","Language Tests","","LanguageTests","GoToPoliciesPage_MultiLanguage","GoToPoliciesPage_MultiLanguage(""RO"")","This test validates navigation to the policies page in multiple languages."
"broken","Tue May 13 19:53:29 EEST 2025","Tue May 13 19:54:07 EEST 2025","38905","","Performance Tests","","PerformanceTests","ValidatePoliciesPages_MultiBrowserWithPerformance","ValidatePoliciesPages_MultiBrowserWithPerformance(""firefox"",""EN"")","This test validates policy pages across multiple browsers with performance metrics."
"passed","Tue May 13 19:55:44 EEST 2025","Tue May 13 19:56:23 EEST 2025","38374","","Policy Tests","","PolicyTests","ValidatePoliciesPages_MultiBrowser","ValidatePoliciesPages_MultiBrowser(""chromium"",""EN"")","This test validates policy pages across multiple browsers."
"passed","Tue May 13 19:52:36 EEST 2025","Tue May 13 19:52:43 EEST 2025","6608","","Language Tests","","LanguageTests","GoToPoliciesPage_MultiLanguage","GoToPoliciesPage_MultiLanguage(""FR"")","This test validates navigation to the policies page in multiple languages."
